Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,71,31,33,39332,0.544147,2566.47,405.488,9782.47,1040670,0,31.4523,34.4358,2.9947,2.9947,18.8626
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,120,31,33,32102,0.59933,2492.51,126.558,15190.4,315447,0,31.5213,33.8811,1.69954,1.69954,19.821
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,123,31,33,28951,0.610107,2550.31,351.458,10372.1,896328,0,31.2941,33.9833,2.86755,2.86755,19.9213
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,124,31,34,41342,0.666033,2560.14,111.465,16257.6,285366,0,31.5133,34.2977,1.52247,1.52247,18.2382
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,225,30,34,34806,0.645677,2536.47,247.735,13798.5,628373,0,30.8433,34.2608,2.40615,2.40615,19.9849
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,265,30,33,35178,0.342245,2656.72,22.0177,17559.1,58495,0,30.0285,33.5538,0.656958,0.656958,19.6856
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,290,31,34,35243,0.635939,2546.96,189.679,14462.8,483105,0,31.6068,34.4629,2.05395,2.05395,19.1572
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,366,31,32,33703,0.59228,2500.61,361.344,10671.7,903582,0,31.6511,33.3171,2.90985,2.90985,19.9638
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,353,31,34,33703,0.647933,2565.89,161.321,15024.1,413933,0,31.2332,34.0665,1.91186,1.91186,19.547
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,391,30,33,40098,0.672896,2556.32,246.165,13612.6,629278,0,30.8883,33.4159,2.24441,2.24441,17.6447
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,447,31,35,38165,0.624251,2607.56,80.9621,15475.5,211114,0,31.1098,35.1162,1.34072,1.34072,19.5777
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,465,31,34,31810,0.694223,2657.41,247.476,12429.1,657645,0,31.0937,34.2931,2.34876,2.34876,19.0762
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,476,31,33,30901,0.558671,2611.41,331.971,11361.7,866912,0,31.023,33.8769,2.76693,2.76693,19.6419
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,493,31,33,29297,0.724256,2641.18,206.403,12943.5,545149,0,31.1777,33.7822,2.10574,2.10574,18.486
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,500,31,34,33617,0.704349,2516.05,166.823,16135,419736,0,31.2904,34.0924,1.96311,1.96311,19.9077
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,498,30,33,37765,0.746739,2633.28,144.599,15834.7,380770,0,30.716,33.7994,1.63935,1.63935,16.2999
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,538,31,33,33651,0.694718,2626.2,286.805,12220.6,753207,0,31.6999,33.7688,2.42903,2.42903,17.6687
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,552,31,34,30739,0.706635,2560.58,151.605,16003.9,388195,0,31.4433,34.0849,1.75915,1.75915,17.7717
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,550,31,32,34631,0.567463,2635.96,582.718,6925.06,1536020,0,31.543,33.4735,3.57098,3.57098,18.6001
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,582,31,34,31429,0.605352,2607.63,238.241,14647.7,621243,0,31.4539,33.9865,2.33705,2.33705,19.613
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,684,31,33,33754,0.560261,2629.99,496.772,10222,1306500,0,30.9789,33.9063,3.25145,3.25145,18.1383
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,720,30,34,39251,0.619918,2655.07,75.6539,18262.2,200866,0,30.9002,34.1709,1.28939,1.28939,19.4372
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,731,30,33,41135,0.71852,2635.32,140.288,17481.1,369704,0,30.6058,33.6138,1.74014,1.74014,18.7227
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,835,31,34,39773,0.662472,2575.05,106.978,16789.5,275474,0,31.0472,33.9732,1.45071,1.45071,17.3567
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,846,30,33,28990,0.594836,2574.59,608.733,7584.33,1567230,0,30.7474,33.8365,3.51959,3.51959,17.3848
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,870,31,33,22055,0.627739,2484.62,387.724,10490.9,963349,0,31.3534,34.2656,2.86995,2.86995,18.199
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,907,31,34,30692,0.669132,2559.08,150.032,14871.4,383943,0,31.6854,34.1751,1.85277,1.85277,19.7592
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,925,30,33,29351,0.518887,2527.16,517.602,8416.13,1308060,0,30.4405,34.0931,3.42798,3.42798,19.3118
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,926,29,33,29640,0.707269,2609.92,250.022,12962.7,652539,0,30.0742,33.9846,2.15907,2.15907,16.16
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,972,29,34,31597,0.566462,2588.81,281.444,13440.7,728605,0,30.2387,34.3801,2.56836,2.56836,19.9881
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1030,31,34,33432,0.569102,2573,507.472,8946.99,1305730,0,30.9226,33.9727,3.35332,3.35332,18.8602
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1066,31,34,33000,0.687396,2536.86,87.4654,17104.6,221888,0,31.0051,34.828,1.33984,1.33984,18.1942
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1064,31,34,34142,0.727645,2641.74,153.895,16629.6,406551,0,31.5885,34.2645,1.76636,1.76636,17.6251
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1119,32,33,37479,0.673926,2526.79,183.211,14810,462934,0,32.1674,34.0371,1.9911,1.9911,18.6933
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1120,30,33,37471,0.74889,2657.85,110.187,16110.6,292860,0,30.8737,34.0089,1.53037,1.53037,18.5806
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1207,30,33,34637,0.674237,2661,205.456,13367.5,546719,0,30.84,33.4248,2.10447,2.10447,18.5395
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1204,30,34,26019,0.533714,2635.02,540.899,9618.52,1425280,0,30.5234,34.1708,3.51492,3.51492,19.3783
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1219,31,33,29837,0.676073,2587.81,283.962,11990.6,734839,0,31.3036,34.1226,2.52471,2.52471,19.1907
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1235,30,33,34559,0.567222,2613.09,351.539,12936.2,918601,0,30.4217,33.9138,2.87468,2.87468,19.9878
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1255,31,34,36854,0.631291,2634.35,110.589,16308.1,291330,0,31.485,34.9088,1.5689,1.5689,19.3915
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1266,30,33,34786,0.641316,2598.58,441.704,10698.8,1147800,0,30.7761,33.7299,3.1604,3.1604,19.2356
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1289,31,33,34495,0.576154,2576.28,81.5712,16621.6,210150,0,31.1647,33.2288,1.34279,1.34279,19.5043
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1294,31,32,35880,0.677728,2659.96,152.805,15179.4,406457,0,31.1622,32.8145,1.82357,1.82357,18.8177
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1443,31,33,31936,0.612979,2641.91,593.956,8583.01,1569180,0,31.502,33.716,3.47404,3.47404,17.3397
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1440,31,34,35631,0.750071,2599.19,189.261,16137,491924,0,31.3144,34.0669,1.92376,1.92376,16.9806
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1444,31,34,38376,0.725557,2570.28,256.327,13199.9,658831,0,30.9754,33.8533,2.23641,2.23641,16.8647
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1450,30,33,31393,0.671829,2620.21,518.242,9778.4,1357900,0,31.1493,33.8648,3.34961,3.34961,18.4323
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1523,30,34,30519,0.714278,2588.23,120.058,16415.5,310739,0,30.9356,34.6404,1.60482,1.60482,18.7127
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1582,30,34,38354,0.664473,2618.89,188.559,14947.8,493815,0,30.3414,34.3442,2.07297,2.07297,19.574
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1606,31,32,27414,0.537879,2591.2,589.463,8252.7,1527420,0,31.4406,33.3709,3.52171,3.52171,17.9371
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1605,31,33,30948,0.676361,2595.8,195.351,14834,507092,0,31.3195,33.8844,2.10739,2.10739,19.5249
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1613,31,34,40136,0.652486,2625.84,194.185,16142.8,509897,0,30.89,34.2079,2.05188,2.05188,18.6712
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1612,30,33,32800,0.617645,2574.01,172.364,17538.2,443667,0,30.4221,33.5446,2.00113,2.00113,19.9792
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1628,31,33,35025,0.707794,2579.38,160.106,15680.4,412974,0,30.9445,34.0185,1.90088,1.90088,19.4734
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1649,31,33,23686,0.573745,2599.42,544.5,8410.59,1415380,0,31.1766,34.0216,3.52317,3.52317,19.3543
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1657,31,34,33804,0.7074,2673.48,205.036,14178.7,548160,0,31.6405,34.0579,2.04287,2.04287,17.5705
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1665,30,33,36916,0.698889,2557.49,127.24,17142.5,325414,0,30.6763,33.7588,1.68278,1.68278,19.3378
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1778,31,34,36220,0.721679,2573.64,122.965,17246.3,316469,0,31.0701,34.0163,1.49982,1.49982,16.1675
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1779,32,34,26146,0.571615,2595.17,577.388,9408.38,1498420,0,31.9505,34.189,3.49714,3.49714,18.0516
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1791,31,34,33661,0.750561,2500.97,199.058,14865.2,497839,0,31.2525,34.7826,1.99854,1.99854,17.4099
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1792,31,34,38702,0.60323,2615.1,111.555,16842.8,291729,0,31.2384,34.3116,1.53364,1.53364,18.4504
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1798,31,33,35141,0.697022,2579.88,315.36,12584.6,813589,0,31.3693,34.1825,2.53134,2.53134,17.4602
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1808,32,35,34021,0.571245,2609.27,478.107,9763.96,1247510,0,31.62,34.8382,3.2793,3.2793,19.1237
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1836,31,33,35492,0.642443,2624.53,310.027,12915.6,813673,0,31.233,34.0251,2.54852,2.54852,17.955
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1839,30,33,40429,0.720484,2557.51,103.663,16146.9,265118,0,30.8538,33.7169,1.47748,1.47748,18.4958
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1950,31,33,37827,0.663572,2587.2,102.258,18288.9,264563,0,31.1564,33.2978,1.51429,1.51429,19.5913
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1982,30,33,32376,0.635866,2549.74,251.428,16065.1,641076,0,30.9341,33.4846,2.36281,2.36281,19.0402
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,1989,31,33,40750,0.722214,2601.13,155.699,16005.5,404993,0,31.2676,34.0054,1.81113,1.81113,18.2718
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2001,31,34,30348,0.638882,2546.48,565.464,7806.75,1439940,0,31.3099,34.8482,3.42108,3.42108,17.683
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2017,31,33,31404,0.59109,2592.98,394.495,12094.8,1022920,0,30.7544,33.7429,2.94534,2.94534,18.7557
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2018,31,34,28183,0.627218,2621.3,467.474,11680.6,1225390,0,30.9064,34.3726,3.08583,3.08583,17.4176
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2080,30,33,38301,0.691335,2557.93,162.032,16981.3,414466,0,30.562,33.6664,1.88416,1.88416,18.947
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2081,30,34,40662,0.608478,2667.06,270.907,13664.2,722524,0,30.9815,34.2587,2.4853,2.4853,19.4578
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2122,32,33,38865,0.627995,2656.05,467.632,10681.9,1242050,0,31.8361,33.682,3.07016,3.07016,17.2345
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2128,30,33,39130,0.752946,2627.88,178.747,16525.6,469727,0,30.734,33.587,1.85284,1.85284,16.7117
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2165,32,34,41849,0.625043,2663.94,121.597,17352.5,323926,0,32.0066,34.6253,1.61473,1.61473,18.672
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2200,31,33,28701,0.652332,2630.86,341.011,10986.1,897153,0,31.7247,33.7329,2.81508,2.81508,19.7717
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2240,30,33,35505,0.653959,2625.84,155.547,17040,408442,0,30.9259,34.1134,1.86333,1.86333,19.2706
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2248,30,32,33267,0.64041,2647.42,507.627,9981.33,1343900,0,30.7809,33.5505,3.20059,3.20059,17.2446
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2285,31,34,36567,0.651663,2590.78,113.402,16772.9,293801,0,31.2078,34.161,1.54971,1.54971,18.5243
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2326,30,34,31760,0.705831,2651.43,147.114,15684.3,390064,0,30.8541,34.2361,1.81377,1.81377,19.3192
POM121-mCherry_EGFP_CR_Wed Apr  3 2024_21.56.52_278.tif: x0 y0 w64 h64,2358,30,34,40573,0.63661,2615.66,110.129,17511.1,288059,0,30.6944,34.3473,1.45269,1.45269,16.9142
