Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,332,64,65,6160.00,0.728152,183.889,877.457,2727.99,161355,0.00000,64.8769,65.0104,2.39698,2.39698,25.0230
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,332,43,59,2661.00,0.522258,183.889,20.8960,2013.60,3842.55,0.00000,42.9207,58.8663,0.320670,0.320670,29.4784
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,332,55,43,2060.00,0.447953,183.889,19.8895,1965.65,3657.46,0.00000,56.0465,42.9039,0.347780,0.347780,31.9699
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,333,65,64,5686.00,0.591730,186.603,575.036,3437.27,107304,0.00000,65.0244,64.1097,2.35294,2.35294,30.8774
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,334,64,64,7364.00,0.705767,186.620,620.987,2973.00,115889,0.00000,64.8231,64.8109,2.13966,2.13966,26.6016
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,335,64,64,8235.00,0.840327,184.513,582.143,3459.39,107413,0.00000,64.3422,64.8342,1.78936,1.78936,22.8504
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,336,65,64,5692.00,0.628586,188.258,512.997,3570.44,96575.6,0.00000,65.2259,64.2322,2.07016,2.07016,28.4451
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,337,64,64,7110.00,0.687299,185.669,272.011,3939.29,50504.0,0.00000,64.4586,64.9729,1.43740,1.43740,27.4379
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,338,64,64,3813.00,0.573545,136.845,673.856,1909.03,92214.1,0.00000,64.6528,64.4188,2.58090,2.58090,35.8246
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,404,64,64,3421.00,0.561012,138.752,297.160,2706.78,41231.5,0.00000,64.2794,65.0847,1.81931,1.81931,38.3366
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,405,64,64,7745.00,0.764290,184.893,300.758,3964.34,55608.0,0.00000,64.0942,64.6568,1.58583,1.58583,28.9011
