Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,31,64,65,4075.00,0.735947,141.568,327.243,2106.41,46327.0,0.00000,64.5353,65.2709,1.86990,1.86990,37.0943
Series 1.tif: x0 y0 w128 h128,32,64,65,4590.00,0.696067,143.444,267.745,2206.18,38406.5,0.00000,64.4867,65.6551,1.55409,1.55409,33.7436
Series 1.tif: x0 y0 w128 h128,36,64,64,5121.00,0.484950,146.651,48.9860,2585.15,7183.86,0.00000,64.5230,64.6175,0.695001,0.695001,37.6909
Series 1.tif: x0 y0 w128 h128,120,64,65,4533.00,0.758223,145.215,405.119,2074.76,58829.2,0.00000,64.4136,65.1681,1.85674,1.85674,32.3130
Series 1.tif: x0 y0 w128 h128,116,64,64,5140.00,0.800663,134.321,276.849,2468.47,37186.7,0.00000,64.6814,64.5110,1.52523,1.52523,33.4403
Series 1.tif: x0 y0 w128 h128,122,64,65,3966.00,0.524613,146.276,248.580,2349.04,36361.3,0.00000,64.8873,65.3284,1.71767,1.71767,38.9131
Series 1.tif: x0 y0 w128 h128,118,64,64,4606.00,0.550604,144.028,446.222,2055.95,64268.4,0.00000,64.5246,64.8945,2.21742,2.21742,37.3199
Series 1.tif: x0 y0 w128 h128,117,64,65,4158.00,0.569388,141.818,335.573,2328.37,47590.3,0.00000,64.5026,65.4428,1.79920,1.79920,35.0388
Series 1.tif: x0 y0 w128 h128,121,64,65,3754.00,0.574701,145.516,366.660,2121.54,53354.7,0.00000,64.7798,65.6265,2.07135,2.07135,38.4960
Series 1.tif: x0 y0 w128 h128,126,64,65,3546.00,0.592201,142.464,572.518,1727.30,81562.9,0.00000,64.1301,65.4077,2.58758,2.58758,38.6858
Series 1.tif: x0 y0 w128 h128,132,63,66,5400.00,0.722188,145.081,143.559,2634.92,20827.7,0.00000,63.1360,66.8256,0.993099,0.993099,29.6592
Series 1.tif: x0 y0 w128 h128,213,60,78,2623.00,0.458056,143.662,20.6100,1800.54,2960.88,0.00000,60.9988,78.9321,0.402838,0.402838,38.6875
Series 1.tif: x0 y0 w128 h128,209,64,64,3787.00,0.572850,147.311,196.100,2269.59,28887.8,0.00000,64.3175,64.8069,1.55449,1.55449,39.7760
Series 1.tif: x0 y0 w128 h128,220,64,64,3692.00,0.599607,148.006,366.163,1922.96,54194.3,0.00000,64.7320,64.6969,2.09068,2.09068,38.6459
Series 1.tif: x0 y0 w128 h128,288,64,65,4556.00,0.683140,146.466,176.117,2336.46,25795.1,0.00000,64.4965,65.0864,1.43399,1.43399,38.7910
Series 1.tif: x0 y0 w128 h128,375,64,65,3832.00,0.616556,140.224,540.651,1873.95,75812.2,0.00000,64.2382,65.1191,2.39411,2.39411,36.8965
Series 1.tif: x0 y0 w128 h128,377,64,65,3622.00,0.556929,143.961,437.250,1956.28,62946.8,0.00000,64.3294,65.2037,2.24724,2.24724,38.3258
Series 1.tif: x0 y0 w128 h128,376,63,64,4505.00,0.505135,146.426,389.920,2220.78,57094.4,0.00000,63.6809,63.9505,2.05113,2.05113,36.6733
Series 1.tif: x0 y0 w128 h128,379,64,65,4179.00,0.643320,144.574,264.341,2331.62,38216.8,0.00000,64.5310,65.1908,1.74494,1.74494,38.4283
Series 1.tif: x0 y0 w128 h128,380,64,65,2984.00,0.576857,146.493,524.166,1852.41,76786.8,0.00000,64.2031,65.0770,2.49366,2.49366,38.5564
Series 1.tif: x0 y0 w128 h128,386,65,64,4496.00,0.625265,146.131,131.946,2405.06,19281.4,0.00000,65.2695,64.8456,1.25379,1.25379,39.5486
Series 1.tif: x0 y0 w128 h128,381,63,65,3943.00,0.591728,143.788,251.902,2167.88,36220.6,0.00000,63.5446,65.1488,1.72298,1.72298,39.0385
Series 1.tif: x0 y0 w128 h128,392,64,64,3971.00,0.639088,147.366,345.096,2097.38,50855.2,0.00000,64.2745,64.5043,1.95060,1.95060,37.0646
Series 1.tif: x0 y0 w128 h128,393,64,63,3713.00,0.524879,146.797,471.196,2005.47,69170.4,0.00000,64.0007,64.0001,2.21243,2.21243,35.8019
Series 1.tif: x0 y0 w128 h128,462,64,65,3762.00,0.698740,146.266,256.384,2352.41,37500.3,0.00000,64.9102,65.0160,1.70787,1.70787,37.9929
Series 1.tif: x0 y0 w128 h128,464,63,64,3072.00,0.518124,147.390,869.052,1304.08,128090,0.00000,63.7103,65.0170,2.90611,2.90611,34.2900
Series 1.tif: x0 y0 w128 h128,476,65,64,5321.00,0.555429,147.644,55.6810,2573.30,8220.97,0.00000,65.4108,64.3684,0.702518,0.702518,35.3208
Series 1.tif: x0 y0 w128 h128,546,63,65,3457.00,0.504218,132.205,665.938,1423.68,88040.5,0.00000,64.1253,65.2875,2.55010,2.55010,36.1388
Series 1.tif: x0 y0 w128 h128,547,64,65,3407.00,0.583755,142.452,443.392,1854.07,63162.1,0.00000,64.3581,65.1245,2.23823,2.23823,38.0270
Series 1.tif: x0 y0 w128 h128,549,64,65,5842.00,0.751361,147.546,208.943,2469.43,30828.6,0.00000,64.2413,65.2947,1.33630,1.33630,32.5497
Series 1.tif: x0 y0 w128 h128,550,64,65,4665.00,0.749900,148.913,186.879,2395.07,27828.7,0.00000,64.0936,65.0189,1.34082,1.34082,34.6240
Series 1.tif: x0 y0 w128 h128,552,64,64,4824.00,0.590553,149.946,148.250,2564.18,22229.5,0.00000,64.1675,64.8252,1.32996,1.32996,39.0228
Series 1.tif: x0 y0 w128 h128,548,64,65,4100.00,0.740577,144.081,174.031,2406.37,25074.6,0.00000,64.2927,65.8349,1.37176,1.37176,37.4748
Series 1.tif: x0 y0 w128 h128,555,64,64,5192.00,0.764416,145.889,225.283,2391.88,32866.2,0.00000,64.1872,64.2504,1.37671,1.37671,32.3842
Series 1.tif: x0 y0 w128 h128,556,64,64,3832.00,0.626760,149.930,174.309,2448.31,26134.3,0.00000,64.1177,64.7811,1.46992,1.46992,39.7035
Series 1.tif: x0 y0 w128 h128,646,64,64,3894.00,0.509959,145.442,514.014,1843.70,74759.3,0.00000,64.6680,64.4837,2.42757,2.42757,37.9473
Series 1.tif: x0 y0 w128 h128,642,64,64,4144.00,0.508877,154.124,357.999,1994.24,55176.4,0.00000,64.2399,64.8146,2.05365,2.05365,37.7115
Series 1.tif: x0 y0 w128 h128,638,64,66,5565.00,0.635004,147.519,83.7597,2571.88,12356.2,0.00000,64.8213,66.4613,0.832564,0.832564,33.2047
Series 1.tif: x0 y0 w128 h128,639,64,65,4786.00,0.835318,149.928,114.303,2664.10,17137.2,0.00000,64.4408,66.3920,0.726857,0.726857,24.4333
Series 1.tif: x0 y0 w128 h128,648,64,65,4649.00,0.655866,150.021,726.750,1753.33,109028,0.00000,64.9058,65.7642,2.47116,2.47116,31.4435
Series 1.tif: x0 y0 w128 h128,647,65,65,3519.00,0.474486,145.921,703.120,1829.90,102600,0.00000,65.2484,65.9809,2.91115,2.91115,38.8944
Series 1.tif: x0 y0 w128 h128,649,64,65,4272.00,0.604969,146.102,143.216,2690.57,20924.2,0.00000,64.8662,65.2743,1.28651,1.28651,38.8134
