midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,NucChnlX,NucChnlY,CytChnlx,CytChnly
-51.20402,-1060,18.79598,-1060,-151.20402,-1060,-71.20402,-1060,-31.20402,-1060
-50.79766,-1057.83784,19.20234,-1057.83784,-150.79766,-1057.83784,-70.79766,-1057.83784,-30.79766,-1057.83784
-50.39217,-1055.67568,19.60783,-1055.67568,-150.39217,-1055.67568,-70.39217,-1055.67568,-30.39217,-1055.67568
-49.98754,-1053.51351,20.01246,-1053.51351,-149.98754,-1053.51351,-69.98754,-1053.51351,-29.98754,-1053.51351
-49.58378,-1051.35135,20.41622,-1051.35135,-149.58378,-1051.35135,-69.58378,-1051.35135,-29.58378,-1051.35135
-49.18088,-1049.18919,20.81912,-1049.18919,-149.18088,-1049.18919,-69.18088,-1049.18919,-29.18088,-1049.18919
-48.77885,-1047.02703,21.22115,-1047.02703,-148.77885,-1047.02703,-68.77885,-1047.02703,-28.77885,-1047.02703
-48.37768,-1044.86486,21.62232,-1044.86486,-148.37768,-1044.86486,-68.37768,-1044.86486,-28.37768,-1044.86486
-47.97738,-1042.7027,22.02262,-1042.7027,-147.97738,-1042.7027,-67.97738,-1042.7027,-27.97738,-1042.7027
-47.57795,-1040.54054,22.42205,-1040.54054,-147.57795,-1040.54054,-67.57795,-1040.54054,-27.57795,-1040.54054
-47.17938,-1038.37838,22.82062,-1038.37838,-147.17938,-1038.37838,-67.17938,-1038.37838,-27.17938,-1038.37838
-46.78167,-1036.21622,23.21833,-1036.21622,-146.78167,-1036.21622,-66.78167,-1036.21622,-26.78167,-1036.21622
-46.38484,-1034.05405,23.61516,-1034.05405,-146.38484,-1034.05405,-66.38484,-1034.05405,-26.38484,-1034.05405
-45.98887,-1031.89189,24.01113,-1031.89189,-145.98887,-1031.89189,-65.98887,-1031.89189,-25.98887,-1031.89189
-45.59376,-1029.72973,24.40624,-1029.72973,-145.59376,-1029.72973,-65.59376,-1029.72973,-25.59376,-1029.72973
-45.19952,-1027.56757,24.80048,-1027.56757,-145.19952,-1027.56757,-65.19952,-1027.56757,-25.19952,-1027.56757
-44.80614,-1025.40541,25.19386,-1025.40541,-144.80614,-1025.40541,-64.80614,-1025.40541,-24.80614,-1025.40541
-44.41363,-1023.24324,25.58637,-1023.24324,-144.41363,-1023.24324,-64.41363,-1023.24324,-24.41363,-1023.24324
-44.02199,-1021.08108,25.97801,-1021.08108,-144.02199,-1021.08108,-64.02199,-1021.08108,-24.02199,-1021.08108
-43.63121,-1018.91892,26.36879,-1018.91892,-143.63121,-1018.91892,-63.63121,-1018.91892,-23.63121,-1018.91892
-43.2413,-1016.75676,26.7587,-1016.75676,-143.2413,-1016.75676,-63.2413,-1016.75676,-23.2413,-1016.75676
-42.85225,-1014.59459,27.14775,-1014.59459,-142.85225,-1014.59459,-62.85225,-1014.59459,-22.85225,-1014.59459
-42.46407,-1012.43243,27.53593,-1012.43243,-142.46407,-1012.43243,-62.46407,-1012.43243,-22.46407,-1012.43243
-42.07676,-1010.27027,27.92324,-1010.27027,-142.07676,-1010.27027,-62.07676,-1010.27027,-22.07676,-1010.27027
-41.69031,-1008.10811,28.30969,-1008.10811,-141.69031,-1008.10811,-61.69031,-1008.10811,-21.69031,-1008.10811
-41.30472,-1005.94595,28.69528,-1005.94595,-141.30472,-1005.94595,-61.30472,-1005.94595,-21.30472,-1005.94595
-40.92001,-1003.78378,29.07999,-1003.78378,-140.92001,-1003.78378,-60.92001,-1003.78378,-20.92001,-1003.78378
-40.53615,-1001.62162,29.46385,-1001.62162,-140.53615,-1001.62162,-60.53615,-1001.62162,-20.53615,-1001.62162
-40.15317,-999.45946,29.84683,-999.45946,-140.15317,-999.45946,-60.15317,-999.45946,-20.15317,-999.45946
-39.77105,-997.2973,30.22895,-997.2973,-139.77105,-997.2973,-59.77105,-997.2973,-19.77105,-997.2973
-39.38979,-995.13514,30.61021,-995.13514,-139.38979,-995.13514,-59.38979,-995.13514,-19.38979,-995.13514
-39.0094,-992.97297,30.9906,-992.97297,-139.0094,-992.97297,-59.0094,-992.97297,-19.0094,-992.97297
-38.62988,-990.81081,31.37012,-990.81081,-138.62988,-990.81081,-58.62988,-990.81081,-18.62988,-990.81081
-38.25122,-988.64865,31.74878,-988.64865,-138.25122,-988.64865,-58.25122,-988.64865,-18.25122,-988.64865
-37.87342,-986.48649,32.12658,-986.48649,-137.87342,-986.48649,-57.87342,-986.48649,-17.87342,-986.48649
-37.4965,-984.32432,32.5035,-984.32432,-137.4965,-984.32432,-57.4965,-984.32432,-17.4965,-984.32432
-37.12044,-982.16216,32.87956,-982.16216,-137.12044,-982.16216,-57.12044,-982.16216,-17.12044,-982.16216
-36.74524,-980,33.25476,-980,-136.74524,-980,-56.74524,-980,-16.74524,-980
-36.37091,-977.83784,33.62909,-977.83784,-136.37091,-977.83784,-56.37091,-977.83784,-16.37091,-977.83784
-35.99745,-975.67568,34.00255,-975.67568,-135.99745,-975.67568,-55.99745,-975.67568,-15.99745,-975.67568
-35.62485,-973.51351,34.37515,-973.51351,-135.62485,-973.51351,-55.62485,-973.51351,-15.62485,-973.51351
-35.25311,-971.35135,34.74689,-971.35135,-135.25311,-971.35135,-55.25311,-971.35135,-15.25311,-971.35135
-34.88225,-969.18919,35.11775,-969.18919,-134.88225,-969.18919,-54.88225,-969.18919,-14.88225,-969.18919
-34.51224,-967.02703,35.48776,-967.02703,-134.51224,-967.02703,-54.51224,-967.02703,-14.51224,-967.02703
-34.14311,-964.86486,35.85689,-964.86486,-134.14311,-964.86486,-54.14311,-964.86486,-14.14311,-964.86486
-33.77484,-962.7027,36.22516,-962.7027,-133.77484,-962.7027,-53.77484,-962.7027,-13.77484,-962.7027
-33.40743,-960.54054,36.59257,-960.54054,-133.40743,-960.54054,-53.40743,-960.54054,-13.40743,-960.54054
-33.04089,-958.37838,36.95911,-958.37838,-133.04089,-958.37838,-53.04089,-958.37838,-13.04089,-958.37838
-32.67522,-956.21622,37.32478,-956.21622,-132.67522,-956.21622,-52.67522,-956.21622,-12.67522,-956.21622
-32.31041,-954.05405,37.68959,-954.05405,-132.31041,-954.05405,-52.31041,-954.05405,-12.31041,-954.05405
-31.94647,-951.89189,38.05353,-951.89189,-131.94647,-951.89189,-51.94647,-951.89189,-11.94647,-951.89189
-31.58339,-949.72973,38.41661,-949.72973,-131.58339,-949.72973,-51.58339,-949.72973,-11.58339,-949.72973
-31.22118,-947.56757,38.77882,-947.56757,-131.22118,-947.56757,-51.22118,-947.56757,-11.22118,-947.56757
-30.85984,-945.40541,39.14016,-945.40541,-130.85984,-945.40541,-50.85984,-945.40541,-10.85984,-945.40541
-30.49936,-943.24324,39.50064,-943.24324,-130.49936,-943.24324,-50.49936,-943.24324,-10.49936,-943.24324
-30.13974,-941.08108,39.86026,-941.08108,-130.13974,-941.08108,-50.13974,-941.08108,-10.13974,-941.08108
