Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,54,63,63,3957.00,0.532444,94.1685,496.422,2141.12,46747.3,0.00000,63.7610,63.2292,1.99153,1.99153,38.0085
Series 1.tif: x0 y0 w128 h128,55,63,63,5735.00,0.776860,115.854,888.269,2506.46,102910,0.00000,64.0379,63.6616,2.16104,2.16104,27.5753
Series 1.tif: x0 y0 w128 h128,57,64,64,10066.0,0.630687,143.046,358.223,4413.90,51242.4,0.00000,64.6576,64.8262,1.37658,1.37658,25.3981
Series 1.tif: x0 y0 w128 h128,59,63,65,7414.00,0.754487,136.047,1352.05,2892.23,183942,0.00000,63.9964,65.0023,2.53788,2.53788,24.2026
Series 1.tif: x0 y0 w128 h128,56,63,64,8764.00,0.846071,127.620,641.694,3803.35,81892.7,0.00000,63.9893,64.3090,1.72171,1.72171,24.7365
Series 1.tif: x0 y0 w128 h128,61,64,64,7567.00,0.705984,141.262,809.746,3589.32,114386,0.00000,64.1973,64.6698,2.08034,2.08034,25.3614
Series 1.tif: x0 y0 w128 h128,63,64,64,8401.00,0.728312,138.068,580.308,3974.23,80121.8,0.00000,64.8871,64.6829,1.84611,1.84611,27.0308
Series 1.tif: x0 y0 w128 h128,64,64,64,7465.00,0.679824,135.829,372.248,4213.47,50562.0,0.00000,64.6686,64.6109,1.50821,1.50821,27.9996
Series 1.tif: x0 y0 w128 h128,65,64,64,7665.00,0.700786,138.290,754.772,3254.31,104378,0.00000,64.5664,64.7895,2.05522,2.05522,26.2573
Series 1.tif: x0 y0 w128 h128,60,64,64,7108.00,0.727309,135.987,1147.73,3134.94,156077,0.00000,64.2327,64.7997,2.43292,2.43292,25.2624
Series 1.tif: x0 y0 w128 h128,67,64,64,7335.00,0.668790,139.762,1058.17,2876.69,147892,0.00000,64.4980,64.8553,2.47931,2.47931,26.5686
Series 1.tif: x0 y0 w128 h128,58,64,64,9520.00,0.634203,138.838,985.890,3663.69,136879,0.00000,64.2525,64.8329,2.22220,2.22220,24.6689
