midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,centralX,centralY,cenx,ceny
194.7161824,-720,264.7161824,-720,124.7161824,-720,174.7161824,-720,214.7161824,-720
193.9305824,-718.5584,263.9305824,-718.5584,123.9305824,-718.5584,173.9305824,-718.5584,213.9305824,-718.5584
193.1465824,-717.1168,263.1465824,-717.1168,123.1465824,-717.1168,173.1465824,-717.1168,213.1465824,-717.1168
192.3625824,-715.6752,262.3625824,-715.6752,122.3625824,-715.6752,172.3625824,-715.6752,212.3625824,-715.6752
191.5801824,-714.2336,261.5801824,-714.2336,121.5801824,-714.2336,171.5801824,-714.2336,211.5801824,-714.2336
190.7993824,-712.792,260.7993824,-712.792,120.7993824,-712.792,170.7993824,-712.792,210.7993824,-712.792
190.0185824,-711.352,260.0185824,-711.352,120.0185824,-711.352,170.0185824,-711.352,210.0185824,-711.352
189.2393824,-709.9104,259.2393824,-709.9104,119.2393824,-709.9104,169.2393824,-709.9104,209.2393824,-709.9104
188.4617824,-708.4688,258.4617824,-708.4688,118.4617824,-708.4688,168.4617824,-708.4688,208.4617824,-708.4688
187.6857824,-707.0272,257.6857824,-707.0272,117.6857824,-707.0272,167.6857824,-707.0272,207.6857824,-707.0272
186.9097824,-705.5856,256.9097824,-705.5856,116.9097824,-705.5856,166.9097824,-705.5856,206.9097824,-705.5856
186.1369824,-704.144,256.1369824,-704.144,116.1369824,-704.144,166.1369824,-704.144,206.1369824,-704.144
185.3641824,-702.7024,255.3641824,-702.7024,115.3641824,-702.7024,165.3641824,-702.7024,205.3641824,-702.7024
184.5913824,-701.2608,254.5913824,-701.2608,114.5913824,-701.2608,164.5913824,-701.2608,204.5913824,-701.2608
183.8217824,-699.8192,253.8217824,-699.8192,113.8217824,-699.8192,163.8217824,-699.8192,203.8217824,-699.8192
183.0521824,-698.3776,253.0521824,-698.3776,113.0521824,-698.3776,163.0521824,-698.3776,203.0521824,-698.3776
182.2841824,-696.9376,252.2841824,-696.9376,112.2841824,-696.9376,162.2841824,-696.9376,202.2841824,-696.9376
181.5161824,-695.496,251.5161824,-695.496,111.5161824,-695.496,161.5161824,-695.496,201.5161824,-695.496
180.7513824,-694.0544,250.7513824,-694.0544,110.7513824,-694.0544,160.7513824,-694.0544,200.7513824,-694.0544
179.9865824,-692.6128,249.9865824,-692.6128,109.9865824,-692.6128,159.9865824,-692.6128,199.9865824,-692.6128
179.2233824,-691.1712,249.2233824,-691.1712,109.2233824,-691.1712,159.2233824,-691.1712,199.2233824,-691.1712
178.4601824,-689.7296,248.4601824,-689.7296,108.4601824,-689.7296,158.4601824,-689.7296,198.4601824,-689.7296
177.7001824,-688.288,247.7001824,-688.288,107.7001824,-688.288,157.7001824,-688.288,197.7001824,-688.288
176.9401824,-686.8464,246.9401824,-686.8464,106.9401824,-686.8464,156.9401824,-686.8464,196.9401824,-686.8464
176.1817824,-685.4048,246.1817824,-685.4048,106.1817824,-685.4048,156.1817824,-685.4048,196.1817824,-685.4048
175.4233824,-683.9632,245.4233824,-683.9632,105.4233824,-683.9632,155.4233824,-683.9632,195.4233824,-683.9632
174.6681824,-682.5232,244.6681824,-682.5232,104.6681824,-682.5232,154.6681824,-682.5232,194.6681824,-682.5232
173.9129824,-681.0816,243.9129824,-681.0816,103.9129824,-681.0816,153.9129824,-681.0816,193.9129824,-681.0816
173.1593824,-679.64,243.1593824,-679.64,103.1593824,-679.64,153.1593824,-679.64,193.1593824,-679.64
172.4057824,-678.1984,242.4057824,-678.1984,102.4057824,-678.1984,152.4057824,-678.1984,192.4057824,-678.1984
171.6553824,-676.7568,241.6553824,-676.7568,101.6553824,-676.7568,151.6553824,-676.7568,191.6553824,-676.7568
170.9049824,-675.3152,240.9049824,-675.3152,100.9049824,-675.3152,150.9049824,-675.3152,190.9049824,-675.3152
170.1561824,-673.8736,240.1561824,-673.8736,100.1561824,-673.8736,150.1561824,-673.8736,190.1561824,-673.8736
169.4073824,-672.432,239.4073824,-672.432,99.4073824,-672.432,149.4073824,-672.432,189.4073824,-672.432
168.6601824,-670.9904,238.6601824,-670.9904,98.6601824,-670.9904,148.6601824,-670.9904,188.6601824,-670.9904
167.9161824,-669.5488,237.9161824,-669.5488,97.9161824,-669.5488,147.9161824,-669.5488,187.9161824,-669.5488
167.1705824,-668.1088,237.1705824,-668.1088,97.1705824,-668.1088,147.1705824,-668.1088,187.1705824,-668.1088
166.4281824,-666.6672,236.4281824,-666.6672,96.4281824,-666.6672,146.4281824,-666.6672,186.4281824,-666.6672
165.6857824,-665.2256,235.6857824,-665.2256,95.6857824,-665.2256,145.6857824,-665.2256,185.6857824,-665.2256
164.9449824,-663.784,234.9449824,-663.784,94.9449824,-663.784,144.9449824,-663.784,184.9449824,-663.784
164.2057824,-662.3424,234.2057824,-662.3424,94.2057824,-662.3424,144.2057824,-662.3424,184.2057824,-662.3424
163.4665824,-660.9008,233.4665824,-660.9008,93.4665824,-660.9008,143.4665824,-660.9008,183.4665824,-660.9008
162.7305824,-659.4592,232.7305824,-659.4592,92.7305824,-659.4592,142.7305824,-659.4592,182.7305824,-659.4592
161.9945824,-658.0176,231.9945824,-658.0176,91.9945824,-658.0176,141.9945824,-658.0176,181.9945824,-658.0176
161.2601824,-656.576,231.2601824,-656.576,91.2601824,-656.576,141.2601824,-656.576,181.2601824,-656.576
160.5257824,-655.1344,230.5257824,-655.1344,90.5257824,-655.1344,140.5257824,-655.1344,180.5257824,-655.1344
159.7929824,-653.6944,229.7929824,-653.6944,89.7929824,-653.6944,139.7929824,-653.6944,179.7929824,-653.6944
159.0617824,-652.2528,229.0617824,-652.2528,89.0617824,-652.2528,139.0617824,-652.2528,179.0617824,-652.2528
158.3321824,-650.8112,228.3321824,-650.8112,88.3321824,-650.8112,138.3321824,-650.8112,178.3321824,-650.8112
157.6025824,-649.3696,227.6025824,-649.3696,87.6025824,-649.3696,137.6025824,-649.3696,177.6025824,-649.3696
156.8761824,-647.928,226.8761824,-647.928,86.8761824,-647.928,136.8761824,-647.928,176.8761824,-647.928
156.1497824,-646.4864,226.1497824,-646.4864,86.1497824,-646.4864,136.1497824,-646.4864,176.1497824,-646.4864
155.4233824,-645.0448,225.4233824,-645.0448,85.4233824,-645.0448,135.4233824,-645.0448,175.4233824,-645.0448
154.7001824,-643.6032,224.7001824,-643.6032,84.7001824,-643.6032,134.7001824,-643.6032,174.7001824,-643.6032
153.9769824,-642.1616,223.9769824,-642.1616,83.9769824,-642.1616,133.9769824,-642.1616,173.9769824,-642.1616
153.2553824,-640.72,223.2553824,-640.72,83.2553824,-640.72,133.2553824,-640.72,173.2553824,-640.72
152.5353824,-639.28,222.5353824,-639.28,82.5353824,-639.28,132.5353824,-639.28,172.5353824,-639.28
151.8153824,-637.8384,221.8153824,-637.8384,81.8153824,-637.8384,131.8153824,-637.8384,171.8153824,-637.8384
151.0969824,-636.3968,221.0969824,-636.3968,81.0969824,-636.3968,131.0969824,-636.3968,171.0969824,-636.3968
150.3801824,-634.9552,220.3801824,-634.9552,80.3801824,-634.9552,130.3801824,-634.9552,170.3801824,-634.9552
149.6649824,-633.5136,219.6649824,-633.5136,79.6649824,-633.5136,129.6649824,-633.5136,169.6649824,-633.5136
148.9497824,-632.072,218.9497824,-632.072,78.9497824,-632.072,128.9497824,-632.072,168.9497824,-632.072
148.2361824,-630.6304,218.2361824,-630.6304,78.2361824,-630.6304,128.2361824,-630.6304,168.2361824,-630.6304
147.5241824,-629.1888,217.5241824,-629.1888,77.5241824,-629.1888,127.5241824,-629.1888,167.5241824,-629.1888
146.8137824,-627.7472,216.8137824,-627.7472,76.8137824,-627.7472,126.8137824,-627.7472,166.8137824,-627.7472
146.1033824,-626.3056,216.1033824,-626.3056,76.1033824,-626.3056,126.1033824,-626.3056,166.1033824,-626.3056
145.3945824,-624.8656,215.3945824,-624.8656,75.3945824,-624.8656,125.3945824,-624.8656,165.3945824,-624.8656
144.6873824,-623.424,214.6873824,-623.424,74.6873824,-623.424,124.6873824,-623.424,164.6873824,-623.424
143.9817824,-621.9824,213.9817824,-621.9824,73.9817824,-621.9824,123.9817824,-621.9824,163.9817824,-621.9824
143.2761824,-620.5408,213.2761824,-620.5408,73.2761824,-620.5408,123.2761824,-620.5408,163.2761824,-620.5408
142.5721824,-619.0992,212.5721824,-619.0992,72.5721824,-619.0992,122.5721824,-619.0992,162.5721824,-619.0992
141.8697824,-617.6576,211.8697824,-617.6576,71.8697824,-617.6576,121.8697824,-617.6576,161.8697824,-617.6576
141.1689824,-616.216,211.1689824,-616.216,71.1689824,-616.216,121.1689824,-616.216,161.1689824,-616.216
140.4681824,-614.7744,210.4681824,-614.7744,70.4681824,-614.7744,120.4681824,-614.7744,160.4681824,-614.7744
139.7689824,-613.3328,209.7689824,-613.3328,69.7689824,-613.3328,119.7689824,-613.3328,159.7689824,-613.3328
139.0713824,-611.8912,209.0713824,-611.8912,69.0713824,-611.8912,119.0713824,-611.8912,159.0713824,-611.8912
138.3753824,-610.4512,208.3753824,-610.4512,68.3753824,-610.4512,118.3753824,-610.4512,158.3753824,-610.4512
137.6793824,-609.0096,207.6793824,-609.0096,67.6793824,-609.0096,117.6793824,-609.0096,157.6793824,-609.0096
136.9849824,-607.568,206.9849824,-607.568,66.9849824,-607.568,116.9849824,-607.568,156.9849824,-607.568
136.2921824,-606.1264,206.2921824,-606.1264,66.2921824,-606.1264,116.2921824,-606.1264,156.2921824,-606.1264
135.5993824,-604.6848,205.5993824,-604.6848,65.5993824,-604.6848,115.5993824,-604.6848,155.5993824,-604.6848
134.9097824,-603.2432,204.9097824,-603.2432,64.9097824,-603.2432,114.9097824,-603.2432,154.9097824,-603.2432
134.2201824,-601.8016,204.2201824,-601.8016,64.2201824,-601.8016,114.2201824,-601.8016,154.2201824,-601.8016
133.5321824,-600.36,203.5321824,-600.36,63.5321824,-600.36,113.5321824,-600.36,153.5321824,-600.36
132.8441824,-598.9184,202.8441824,-598.9184,62.8441824,-598.9184,112.8441824,-598.9184,152.8441824,-598.9184
132.1577824,-597.4768,202.1577824,-597.4768,62.1577824,-597.4768,112.1577824,-597.4768,152.1577824,-597.4768
131.4729824,-596.0368,201.4729824,-596.0368,61.4729824,-596.0368,111.4729824,-596.0368,151.4729824,-596.0368
130.7897824,-594.5952,200.7897824,-594.5952,60.7897824,-594.5952,110.7897824,-594.5952,150.7897824,-594.5952
130.1081824,-593.1536,200.1081824,-593.1536,60.1081824,-593.1536,110.1081824,-593.1536,150.1081824,-593.1536
129.4265824,-591.712,199.4265824,-591.712,59.4265824,-591.712,109.4265824,-591.712,149.4265824,-591.712
128.7465824,-590.2704,198.7465824,-590.2704,58.7465824,-590.2704,108.7465824,-590.2704,148.7465824,-590.2704
128.0681824,-588.8288,198.0681824,-588.8288,58.0681824,-588.8288,108.0681824,-588.8288,148.0681824,-588.8288
127.3897824,-587.3872,197.3897824,-587.3872,57.3897824,-587.3872,107.3897824,-587.3872,147.3897824,-587.3872
126.7129824,-585.9456,196.7129824,-585.9456,56.7129824,-585.9456,106.7129824,-585.9456,146.7129824,-585.9456
126.0377824,-584.504,196.0377824,-584.504,56.0377824,-584.504,106.0377824,-584.504,146.0377824,-584.504
125.3641824,-583.0624,195.3641824,-583.0624,55.3641824,-583.0624,105.3641824,-583.0624,145.3641824,-583.0624
124.6905824,-581.6224,194.6905824,-581.6224,54.6905824,-581.6224,104.6905824,-581.6224,144.6905824,-581.6224
124.0201824,-580.1808,194.0201824,-580.1808,54.0201824,-580.1808,104.0201824,-580.1808,144.0201824,-580.1808
123.3497824,-578.7392,193.3497824,-578.7392,53.3497824,-578.7392,103.3497824,-578.7392,143.3497824,-578.7392
122.6793824,-577.2976,192.6793824,-577.2976,52.6793824,-577.2976,102.6793824,-577.2976,142.6793824,-577.2976
122.0121824,-575.856,192.0121824,-575.856,52.0121824,-575.856,102.0121824,-575.856,142.0121824,-575.856
121.3449824,-574.4144,191.3449824,-574.4144,51.3449824,-574.4144,101.3449824,-574.4144,141.3449824,-574.4144
120.6793824,-572.9728,190.6793824,-572.9728,50.6793824,-572.9728,100.6793824,-572.9728,140.6793824,-572.9728
120.0153824,-571.5312,190.0153824,-571.5312,50.0153824,-571.5312,100.0153824,-571.5312,140.0153824,-571.5312
119.3513824,-570.0896,189.3513824,-570.0896,49.3513824,-570.0896,99.3513824,-570.0896,139.3513824,-570.0896
118.6889824,-568.648,188.6889824,-568.648,48.6889824,-568.648,98.6889824,-568.648,138.6889824,-568.648
118.0281824,-567.208,188.0281824,-567.208,48.0281824,-567.208,98.0281824,-567.208,138.0281824,-567.208
117.3689824,-565.7664,187.3689824,-565.7664,47.3689824,-565.7664,97.3689824,-565.7664,137.3689824,-565.7664
116.7097824,-564.3248,186.7097824,-564.3248,46.7097824,-564.3248,96.7097824,-564.3248,136.7097824,-564.3248
116.0521824,-562.8832,186.0521824,-562.8832,46.0521824,-562.8832,96.0521824,-562.8832,136.0521824,-562.8832
115.3961824,-561.4416,185.3961824,-561.4416,45.3961824,-561.4416,95.3961824,-561.4416,135.3961824,-561.4416
114.7417824,-560,184.7417824,-560,44.7417824,-560,94.7417824,-560,134.7417824,-560
114.0873824,-558.5584,184.0873824,-558.5584,44.0873824,-558.5584,94.0873824,-558.5584,134.0873824,-558.5584
113.4345824,-557.1168,183.4345824,-557.1168,43.4345824,-557.1168,93.4345824,-557.1168,133.4345824,-557.1168
112.7833824,-555.6752,182.7833824,-555.6752,42.7833824,-555.6752,92.7833824,-555.6752,132.7833824,-555.6752
112.1337824,-554.2336,182.1337824,-554.2336,42.1337824,-554.2336,92.1337824,-554.2336,132.1337824,-554.2336
111.4841824,-552.792,181.4841824,-552.792,41.4841824,-552.792,91.4841824,-552.792,131.4841824,-552.792
110.8361824,-551.352,180.8361824,-551.352,40.8361824,-551.352,90.8361824,-551.352,130.8361824,-551.352
110.1897824,-549.9104,180.1897824,-549.9104,40.1897824,-549.9104,90.1897824,-549.9104,130.1897824,-549.9104
109.5449824,-548.4688,179.5449824,-548.4688,39.5449824,-548.4688,89.5449824,-548.4688,129.5449824,-548.4688
108.9001824,-547.0272,178.9001824,-547.0272,38.9001824,-547.0272,88.9001824,-547.0272,128.9001824,-547.0272
108.2569824,-545.5856,178.2569824,-545.5856,38.2569824,-545.5856,88.2569824,-545.5856,128.2569824,-545.5856
107.6153824,-544.144,177.6153824,-544.144,37.6153824,-544.144,87.6153824,-544.144,127.6153824,-544.144
