Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,+/-,Signal,+/-,Angle,+/-,X,+/-,Y,+/-,X SD,+/-,Y SD,+/-,Precision (nm)
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,2,45,49,29579,0.785819,19.5669,299.947,265.565,0.0105542,5869.02,0.600026,0,0,-34.02090992,0.00782968,-7.404387883,0.00783232,254.125,0.0121908,254.125,0.0121908,9.43301
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,3,45,49,27018,0.760745,20.1393,224.762,278.103,0.00736098,4526.54,0.356177,0,0,-4.920909919,0.00751418,17.84561212,0.00750714,219.388,0.00900363,219.388,0.00900363,9.41176
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4,45,49,28345,0.729928,20.5622,605.84,164.449,0.0248676,12457.4,2.03299,0,0,-54.57090992,0.00698827,27.35561212,0.00699543,337.816,0.0210013,337.816,0.0210013,8.32641
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,5,45,49,26554,0.714289,19.977,249.845,283.903,0.00860009,4991.17,0.444669,0,0,-45.59090992,0.00773518,5.625612117,0.00773548,233.621,0.0103758,233.621,0.0103758,9.53852
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,6,45,49,30562,0.739829,20.2215,366.53,248.553,0.0134795,7411.81,0.856387,0,0,-55.29090992,0.00754727,47.10561212,0.00757132,278.69,0.0141195,278.69,0.0141195,9.20975
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,7,45,49,28624,0.721443,19.7047,386.895,221.217,0.0139044,7623.65,0.90646,0,0,-90.18090992,0.00768949,44.64561212,0.00767268,284.008,0.0146538,284.008,0.0146538,9.14178
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,8,45,49,24458,0.709343,20.1848,1110.89,89.968,0.0652764,22422.9,8.07382,0,0,-31.68090992,0.00813035,16.64561212,0.00810914,445.208,0.0521174,445.208,0.0521174,7.98117
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,9,45,49,26341,0.798796,19.5143,304.709,251.053,0.0103247,5946.2,0.583974,0,0,-12.65090992,0.00765922,19.73561212,0.00764421,252.824,0.011711,252.824,0.011711,9.25365
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,10,45,49,22543,0.722919,19.8133,808.963,140.68,0.0408882,16028.2,4.12483,0,0,-50.72090992,0.00786312,23.13561212,0.0078698,390.419,0.0349681,390.419,0.0349681,8.37401
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,11,45,49,27605,0.699435,19.8697,290.249,260.407,0.0102364,5767.16,0.572493,0,0,-42.48090992,0.00773848,23.25561212,0.00773943,250.633,0.0117848,250.633,0.0117848,9.44475
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,12,45,49,26061,0.713448,20.0465,237.866,263.683,0.00862396,4768.38,0.447506,0,0,-27.97090992,0.00814895,2.935612117,0.00814658,234.313,0.0109462,234.313,0.0109462,9.94864
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,14,45,49,29586,0.778777,20.0631,243.586,253.685,0.00858821,4887.08,0.4443,0,0,-42.11090992,0.00790573,28.45561212,0.00790724,233.7,0.0105925,233.7,0.0105925,9.7249
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,15,45,49,30066,0.762261,19.8759,300.134,256.992,0.0101266,5965.43,0.564744,0,0,-39.54090992,0.00743893,-6.634387883,0.00744226,249.939,0.0112371,249.939,0.0112371,9.16462
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,16,45,49,31547,0.653294,19.5406,387.521,220.94,0.0147562,7572.37,0.975547,0,0,-84.38090992,0.00795253,17.36561212,0.00791959,287.673,0.0158742,287.673,0.0158742,9.32571
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,17,45,49,27915,0.806468,19.9273,246.028,271.699,0.00714658,4902.67,0.33907,0,0,-23.25090992,0.0066844,3.305612117,0.00668292,215.462,0.00785452,215.462,0.00785452,8.57071
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,20,45,49,26205,0.732245,19.8339,264.149,270.165,0.00881585,5239.1,0.465582,0,0,-10.90090992,0.00765549,-9.824387883,0.00764843,237.83,0.0104314,237.83,0.0104314,9.3974
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,22,45,49,24005,0.674965,19.9864,607.04,176.881,0.0334585,12132.6,3.10844,0,0,-45.45090992,0.00897282,32.64561212,0.0089983,369.268,0.0340521,369.268,0.0340521,9.57528
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,23,45,49,29545,0.760987,19.7916,249.027,256.553,0.00891348,4928.62,0.473919,0,0,-11.85090992,0.00823574,42.04561212,0.00823163,239.219,0.0113112,239.219,0.0113112,9.92991
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,25,45,49,27739,0.769302,19.9419,310.417,244.605,0.0116944,6190.31,0.693288,0,0,-41.68090992,0.00800949,25.06561212,0.00801138,263.5,0.0134652,263.5,0.0134652,9.65853
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,26,45,49,29154,0.744492,20.0074,269.457,265.785,0.00928745,5391.12,0.499674,0,0,-18.61090992,0.00770789,6.325612117,0.0077002,242.017,0.0109164,242.017,0.0109164,9.47975
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,27,45,49,27634,0.716171,20.2953,247.593,266.637,0.00873685,5024.97,0.45586,0,0,-68.38090992,0.00781369,14.73561212,0.00781067,235.507,0.0105952,235.507,0.0105952,9.68926
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,28,45,49,27565,0.766697,20.5343,463.366,213.337,0.016219,9514.92,1.12242,0,0,-8.540909919,0.00685658,31.17561212,0.00682555,297.929,0.0146912,297.929,0.0146912,8.47014
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,29,45,49,26305,0.683119,20.7946,431.73,234.008,0.0200275,8977.67,1.49295,0,0,-36.91090992,0.00826184,4.145612117,0.00825965,315.85,0.0209572,315.85,0.0209572,9.74888
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,30,45,49,21728,0.6554,20.2158,312.637,252.88,0.0112526,6320.2,0.669395,0,0,7.099090081,0.00789385,19.15561212,0.00784554,263.452,0.0128112,263.452,0.0128112,9.57355
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,31,45,49,21136,0.717996,19.8963,521.868,181.157,0.0221812,10383.2,1.74853,0,0,-20.51090992,0.0078756,-13.92438788,0.00787307,328.594,0.0215478,328.594,0.0215478,9.02258
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,32,45,49,24875,0.653088,20.4431,457.091,204.191,0.0226066,9344.37,1.78742,0,0,-68.30090992,0.00879168,-10.87438788,0.00879867,329.514,0.0244645,329.514,0.0244645,9.98611
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,33,45,49,23276,0.630305,19.6594,1609.17,17.0862,0.0973979,31635.3,14.4325,0,0,-72.55090992,0.00806083,1.565612117,0.00801742,497.469,0.0703584,497.469,0.0703584,7.18861
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,34,45,49,24736,0.623286,19.8783,708.757,171.618,0.04371,14088.9,4.5627,0,0,-51.94090992,0.00949809,36.59561212,0.00954282,399.13,0.0444804,399.13,0.0444804,9.57481
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,35,45,49,25221,0.801145,19.9499,311.863,259.217,0.0119431,6221.65,0.71939,0,0,-68.64090992,0.00818959,-14.12438788,0.00819507,266.777,0.0139726,266.777,0.0139726,9.80464
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,36,45,49,31237,0.798494,19.7273,330.985,236.321,0.0096175,6529.42,0.523948,0,0,-31.37090992,0.00651406,21.78561212,0.00651236,244.848,0.00947218,244.848,0.00947218,8.26735
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,37,45,49,26921,0.728874,20.0757,215.264,280.932,0.0068815,4321.58,0.32223,0,0,-10.86090992,0.00738424,45.78561212,0.00738343,212.61,0.0084399,212.61,0.0084399,9.29616
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,38,45,49,25133,0.707128,20.3805,420.545,217.769,0.0188747,8570.92,1.38817,0,0,-70.70090992,0.00844197,-17.94438788,0.00845802,312.219,0.0204089,312.219,0.0204089,9.8187
