,StartFrame,EndFrame,Class,DwellTime,Nucleus,NuclearBasket,CentralScaffold1,CentralScaffold2,CytoplasmicFibril,Cytoplasm
0,5753,5755,successful,1,,,,,,
1,7950,7957,successful,6,,,,,,
2,9320,9322,docking_event,1,,,,,,
3,11450,11452,docking_event,1,,,,,,
4,11954,11958,successful,3,,,,,,
5,13228,13230,docking_event,1,,,,,,
6,13385,13387,abortive_central_channel,1,,,,,,
7,13655,13657,abortive_central_channel,1,,,,,,
8,13953,13955,abortive_central_channel,1,,,,,,
9,14268,14271,docking_event,2,,,,,24.91,
10,14987,14990,docking_event,2,,,,,61.39,
11,15630,15632,abortive_central_channel,1,,,,,,
12,16807,16810,abortive_nuclear_basket,2,,,,,,
13,17077,17080,abortive_nuclear_basket,2,,,,,,
14,17815,17820,abortive_nuclear_basket,4,,,,,,
15,18210,18213,successful,2,,,,,,
