,StartFrame,EndFrame,Class,DwellTime,Nucleus,NuclearBasket,CentralScaffold1,CentralScaffold2,CytoplasmicFibril,Cytoplasm
0,285,289,docking_event,3,,24.64,,,,
1,365,371,failure_cytoplasmic_fibril,5,,23.07,,,33.94,
2,449,454,failure_cytoplasmic_fibril,3,,,,,,
3,457,460,failure_central_channel,2,,,,,,
4,523,540,failure_cytoplasmic_fibril,11,29.28,55.45,,,,
5,768,777,failure_cytoplasmic_fibril,7,,,57.22,,,
6,1079,1084,successful,3,,,,,,
7,1156,1161,failure_central_channel,4,,,,,,
8,1311,1320,failure_central_channel,5,,,32.05,,,
9,1398,1403,failure_central_channel,4,,18.32,,,,
10,1552,1556,failure_central_channel,3,,,,,,
11,1708,1712,failure_central_channel,2,,,,,,
12,1783,1785,successful,1,,,,,,
13,1871,1881,failure_cytoplasmic_fibril,8,,104.93,,,,
14,1953,1957,docking_event,1,103.64,,,,,
15,2025,2031,successful,4,,,,,44.85,
16,2265,2274,successful,7,,,118.82,,18.46,
17,2735,2740,successful,3,,,,,,
18,2893,2895,docking_event,1,,,,,,
19,2899,2906,failure_cytoplasmic_fibril,6,,,,,,
20,3140,3142,successful,1,,,,,,
21,3203,3207,failure_cytoplasmic_fibril,3,,,,,,
22,3373,3380,successful,5,,,,,,
23,3529,3532,failure_central_channel,2,,,,,,
24,3836,3841,failure_cytoplasmic_fibril,4,,,,,,
25,3919,3922,failure_central_channel,2,,,,,,
26,3930,3932,docking_event,1,,,,,,
27,4875,4880,failure_cytoplasmic_fibril,4,,,,37.06,,
28,5269,5277,successful,5,,21.46,,,,154.86
29,5495,5498,docking_event,2,,8.64,,,,
30,5899,5905,successful,5,,,,,30.4,
31,6530,6536,failure_central_channel,4,,18.86,,,,
32,6762,6768,failure_central_channel,3,64.13,,,,,
33,6772,6775,failure_central_channel,2,,,,,,
34,6841,6849,failure_cytoplasmic_fibril,6,,,,,,
35,6931,6936,docking_event,2,72.8,,,,,
36,7240,7244,successful,3,,41.31,,,,
37,7320,7327,failure_cytoplasmic_fibril,5,,,,,,
38,7400,7403,failure_central_channel,2,,,,,,
39,7480,7488,successful,6,,,,,,
40,7719,7721,docking_event,1,,,,,,
41,8027,8030,successful,2,,,,,44.65,
42,8340,8344,failure_cytoplasmic_fibril,3,,,,,,
43,8422,8430,successful,7,,,88.55,,,
44,8658,8660,docking_event,1,,,,,,
45,8903,8910,failure_cytoplasmic_fibril,6,,,,,45.24,
46,9208,9224,failure_cytoplasmic_fibril,15,,57.37,,,,
47,9296,9302,successful,4,,,,,,63.05
48,9373,9382,failure_cytoplasmic_fibril,8,,46.03,,,,
49,9761,9763,successful,1,,,,,,
50,9848,9851,failure_central_channel,2,,,,,,
51,10632,10639,successful,6,,,,,,
52,10956,10959,successful,2,,,,,,
53,11194,11196,docking_event,1,,,,,,
54,11268,11272,docking_event,3,,42.84,,,,
55,11346,11353,successful,6,,26.0,,,118.24,
56,11663,11672,failure_cytoplasmic_fibril,8,,,,53.99,38.64,
57,11824,11832,successful,6,,,,,,67.62
58,11908,11911,docking_event,2,,144.47,,,,
59,11974,11976,docking_event,1,,,,,,
60,12147,12151,failure_cytoplasmic_fibril,3,,,,,,
61,12219,12221,failure_cytoplasmic_fibril,1,,,,,,
62,12379,12381,successful,1,,,,,,
63,12451,12462,successful,9,,34.78,,,35.85,
64,12531,12536,docking_event,4,,39.59,,,,
65,12765,12769,failure_central_channel,3,,99.05,,,,
66,12843,12847,successful,3,,,,67.23,,
