,StartFrame,EndFrame,Class,DwellTime,Nucleus,NuclearBasket,CentralScaffold1,CentralScaffold2,CytoplasmicFibril,Cytoplasm
0,2647,2649,abortive_central_channel,1,,,,,,
1,2674,2676,docking_event,1,,,,,,
2,3966,3968,docking_event,1,,,,,,
3,3979,3982,abortive_central_channel,2,,,,,,
4,4256,4262,abortive_central_channel,3,,,,,,5.73
5,4344,4350,abortive_central_channel,5,,,,,10.84,
6,4492,4499,abortive_central_channel,3,,,,,,35.44
7,4737,4743,docking_event,5,,,,,37.47,
8,4759,4763,abortive_central_channel,3,,,,,,
9,4966,4972,docking_event,3,,,,,11.4,41.88
10,5111,5113,docking_event,1,,,,,,
11,5180,5182,docking_event,1,,,,,,
12,5226,5231,docking_event,3,,,,,20.6,38.14
13,5249,5251,docking_event,1,,,,,,
14,5257,5264,docking_event,4,,,,,48.13,76.31
15,5277,5279,docking_event,1,,,,,,
16,5294,5301,docking_event,1,,,,,,39.25
17,5334,5336,docking_event,1,,,,,,
18,5352,5357,docking_event,4,,,,,15.29,
19,5425,5427,docking_event,1,,,,,,
20,5438,5440,docking_event,1,,,,,,
21,5631,5636,docking_event,2,,,,,,23.9
22,5691,5695,docking_event,3,,,,,33.04,
23,5941,5944,abortive_central_channel,2,,,,18.81,,
24,6066,6069,docking_event,2,,,,,43.74,
25,6099,6101,docking_event,1,,,,,,
26,6213,6216,docking_event,2,,,,,53.31,
27,6235,6239,docking_event,3,,,,,60.63,
28,6379,6384,docking_event,3,,,,,10.46,40.38
29,6404,6407,docking_event,2,,,,,20.8,
30,6411,6413,docking_event,1,,,,,,
31,6455,6457,docking_event,1,,,,,,
32,6486,6490,abortive_central_channel,3,,,,82.32,,
33,6502,6504,docking_event,1,,,,,,
34,6515,6519,docking_event,3,,,,,34.6,
35,6537,6539,docking_event,1,,,,,,
36,6688,6692,abortive_central_channel,3,,,,,,
37,6725,6732,abortive_central_channel,4,,,,,32.15,71.07
38,6833,6837,docking_event,2,,,,,,
39,6975,6977,docking_event,1,,,,,,
40,7106,7111,docking_event,4,,,,,32.14,
41,7195,7197,docking_event,1,,,,,,
42,7218,7221,docking_event,1,,,,,,28.85
43,7262,7264,docking_event,1,,,,,,
44,7271,7274,abortive_central_channel,2,,,,,,
45,7376,7384,abortive_central_channel,6,,,,,31.48,22.04
46,7413,7416,docking_event,2,,,,,15.74,
47,7475,7479,docking_event,2,,,,,,
48,7522,7524,abortive_central_channel,1,,,,,,
49,7627,7631,docking_event,2,,,,,22.69,10.74
50,7659,7661,docking_event,1,,,,,,
51,7936,7939,docking_event,1,,,,,,24.42
52,7976,7979,docking_event,1,,,,,,4.91
53,8066,8071,docking_event,3,,,,,20.47,
54,8074,8076,docking_event,1,,,,,,
55,8138,8144,docking_event,4,,,,,23.68,
56,8546,8552,abortive_central_channel,5,,,,,46.21,
57,8582,8591,docking_event,8,,,,,33.56,
58,8634,8643,docking_event,6,,,,,43.54,34.0
59,8658,8660,docking_event,1,,,,,,
60,8692,8694,docking_event,1,,,,,,
61,8716,8721,docking_event,3,,,,,25.3,
62,8733,8737,docking_event,2,,,,,,
63,8745,8755,docking_event,6,,,,,27.56,62.05
64,8835,8837,abortive_central_channel,1,,,,,,
65,8847,8849,docking_event,1,,,,,,
66,8851,8856,docking_event,3,,,,,30.83,39.87
67,8861,8863,docking_event,1,,,,,,
68,8925,8928,docking_event,2,,,,,19.96,
69,8965,8967,docking_event,1,,,,,,
70,9009,9011,docking_event,1,,,,,,
71,9148,9150,docking_event,1,,,,,,
72,9248,9250,docking_event,1,,,,,,
73,9252,9255,docking_event,1,,,,,,29.16
74,9315,9317,docking_event,1,,,,,,
75,9361,9365,docking_event,2,,,,,,
76,9432,9434,docking_event,1,,,,,,
77,9483,9486,docking_event,1,,,,,,12.33
78,9500,9505,abortive_central_channel,4,,,,,36.98,
79,9558,9564,abortive_central_channel,5,,,,,24.24,
80,9568,9571,docking_event,2,,,,,37.49,
81,9596,9598,docking_event,1,,,,,,
82,9601,9603,docking_event,1,,,,,,
83,9710,9713,docking_event,1,,,,,,10.73
84,9759,9761,docking_event,1,,,,,,
85,9836,9838,docking_event,1,,,,,,
86,9868,9883,abortive_central_channel,10,,,,,27.62,15.31
87,10016,10022,abortive_central_channel,4,,,,21.16,11.28,29.02
88,10145,10147,abortive_central_channel,1,,,,,,
89,10259,10269,abortive_central_channel,9,,,,,48.97,
90,10313,10316,docking_event,1,,,,,,1.48
